date,hour,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2017-06-28,,,,130.0,,,0.0014716703458425313,6.262481577008106,2.0,32.0
2018-01-24,,,,90.0,,,0.0014716703458425313,4.174496438221567,2.0,48.0
,,,,50.0,,55.78,0.0014716703458425313,3.130503868828298,2.0,64.0
2016-01-29,,,,,,54.32,0.0014716703458425313,3.5151327101837126,2.0,57.0
2015-12-15,,,,,,55.99,0.0014716703458425313,3.130503868828298,2.0,64.0
2018-02-12,,,,,,54.72,0.0014716703458425313,8.350466715794644,2.0,24.0
2016-07-19,,,,90.0,,,0.0014716703458425313,3.03559545342891,2.0,66.0
,,,,130.0,,54.17,0.0014716703458425313,7.157332350773765,2.0,28.0
,,,,180.0,,55.34,0.0014716703458425313,5.009690493736183,2.0,40.0
2015-12-16,,,,50.0,,,0.0014716703458425313,5.138181886892277,2.0,39.0
2018-11-28,,,,170.0,,,0.0014716703458425313,3.5151327101837126,2.0,57.0
,,,,150.0,,55.53,0.0014716703458425313,5.8940136113398935,2.0,34.0
,,,,150.0,,54.97,0.0014716703458425313,18.22094191733101,2.0,11.0
,,,,180.0,,54.2,0.0014716703458425313,6.262481577008106,2.0,32.0
2018-09-28,,,,150.0,,,0.0014716703458425313,4.263346869659292,2.0,47.0
,,,,150.0,,55.16,0.0014716703458425313,5.009690493736183,2.0,40.0
,,,,180.0,,55.4,0.0014716703458425313,8.71359456601839,2.0,23.0
2016-03-24,,,,,,55.77,0.0014716703458425313,6.07266474620933,2.0,33.0
2018-02-12,,,,180.0,,,0.0014716703458425313,13.361631048882337,2.0,15.0
,,,,210.0,,54.61,0.0014716703458425313,28.63375092114959,2.0,7.0
,,,,180.0,,55.16,0.0014716703458425313,10.020854826823877,2.0,20.0
,,,,10.0,,55.6,0.0014716703458425313,9.543601080815524,2.0,21.0
,,,,10.0,,55.59,0.0014716703458425313,9.543601080815524,2.0,21.0
,,2018,,20.0,,54.89,0.0014716703458425313,3.8532679553313307,2.0,52.0
,14,,24603,,,54.92,0.0014716703458425313,6.910476964907376,2.0,29.0
2016-03-07,11,,,,,55.74,0.0014716703458425313,6.680078604765414,2.0,30.0
,15,2016,,170.0,,,0.0014716703458425313,3.5151327101837126,2.0,57.0
2015-06-29,8,,,150.0,,,0.0014716703458425313,4.55413009981912,2.0,44.0
,15,2016,,20.0,,,0.0014716703458425313,4.007457627118645,2.0,50.0
2018-01-30,14,,,110.0,,,0.0014716703458425313,3.130503868828298,2.0,64.0
,,2018,,120.0,,54.1,0.0014716703458425313,3.0823195963947625,2.0,65.0
2017-06-19,16,,,20.0,,,0.0014716703458425313,9.543601080815524,2.0,21.0
,9,2015,,,,55.05,0.0014716703458425313,4.35606036333344,2.0,46.0
,11,,,80.0,,54.87,0.0014716703458425313,3.2845355593945182,2.0,61.0
2016-03-09,,,24603,,,54.79,0.0014716703458425313,7.157332350773765,2.0,28.0
,,2018,,120.0,,54.4,0.0014716703458425313,7.422473320778406,2.0,27.0
2017-12-14,,,24603,,,54.69,0.0014716703458425313,4.007457627118645,2.0,50.0
2017-03-14,14,,,80.0,,,0.0014716703458425313,3.7805369780731635,2.0,53.0
2018-02-22,,,24602,110.0,,,0.0014716703458425313,3.1802178007041673,2.0,63.0
,,2017,,200.0,,55.14,0.0014716703458425313,5.009690493736183,2.0,40.0
2017-01-31,10,,,,,54.93,0.0014716703458425313,7.422473320778406,2.0,27.0
,11,2015,,,,55.99,0.0014716703458425313,10.548345809254158,2.0,19.0
,13,,,40.0,,54.88,0.0014716703458425313,10.548345809254158,2.0,19.0
,10,2016,,,,55.98,0.0014716703458425313,5.566486530745926,2.0,36.0
,12,2016,,20.0,,,0.0014716703458425313,3.5151327101837126,2.0,57.0
2017-01-04,9,,,150.0,,,0.0014716703458425313,7.157332350773765,2.0,28.0
,10,2018,,,,54.66,0.0014716703458425313,3.3959257085045524,2.0,59.0
,,2018,,180.0,,54.72,0.0014716703458425313,3.577929255711127,2.0,56.0
2018-05-09,,,24603,90.0,,,0.0014716703458425313,5.416001115337887,2.0,37.0
2017-02-27,14,,,110.0,,,0.0014716703458425313,5.009690493736183,2.0,40.0
,15,,,100.0,,54.69,0.0014716703458425313,4.174496438221567,2.0,48.0
2017-10-24,12,,,110.0,,,0.0014716703458425313,4.35606036333344,2.0,46.0
2016-05-16,9,,,180.0,,,0.0014716703458425313,6.680078604765414,2.0,30.0
2017-06-19,,,,0.0,,55.71,0.0014716703458425313,4.35606036333344,2.0,46.0
2018-06-15,,,24603,,,54.71,0.0014716703458425313,5.72557111274871,2.0,35.0
2016-03-09,14,,,140.0,,,0.0014716703458425313,3.7104997407134475,2.0,54.0
,,2017,,20.0,,55.73,0.0014716703458425313,4.4528944567264395,2.0,45.0
2018-03-13,9,,,180.0,,,0.0014716703458425313,10.548345809254158,2.0,19.0
2017-01-04,11,,,170.0,,,0.0014716703458425313,5.72557111274871,2.0,35.0
,,2018,,110.0,,54.42,0.0014716703458425313,3.9288511277760922,2.0,51.0
2017-01-04,11,,,180.0,,,0.0014716703458425313,9.543601080815524,2.0,21.0
,9,,,110.0,,55.96,0.0014716703458425313,4.007457627118645,2.0,50.0
,9,,24603,,,55.96,0.0014716703458425313,7.708009750014171,2.0,26.0
,10,2016,,,,55.52,0.0014716703458425313,8.0163890935888,2.0,25.0
2015-08-26,10,,24603,,,,0.0014716703458425313,3.3959257085045524,2.0,59.0
,15,2017,,70.0,,,0.0014716703458425313,3.03559545342891,2.0,66.0
,,2018,24602,,,54.42,0.0014716703458425313,4.4528944567264395,2.0,45.0
,,2015,,110.0,,55.96,0.0014716703458425313,10.548345809254158,2.0,19.0
,9,2016,,,,54.74,0.0014716703458425313,3.3393023827069515,2.0,60.0
2018-03-06,,,,120.0,,54.1,0.0014716703458425313,3.0823195963947625,2.0,65.0
,9,2016,,,,55.96,0.0014716703458425313,20.043183492999262,2.0,10.0
,11,2018,,,,55.73,0.0014716703458425313,3.2845355593945182,2.0,61.0
2015-08-26,10,,,30.0,,,0.0014716703458425313,3.23153540780184,2.0,62.0
,,2017,,60.0,,54.96,0.0014716703458425313,3.23153540780184,2.0,62.0
2016-05-16,9,,,,,54.65,0.0014716703458425313,4.263346869659292,2.0,47.0
2017-06-20,,,24603,,,55.71,0.0014716703458425313,5.566486530745926,2.0,36.0
,,,24602,110.0,,54.42,0.0014716703458425313,4.174496438221567,2.0,48.0
2016-09-06,,,,100.0,,55.84,0.0014716703458425313,3.3959257085045524,2.0,59.0
,,2018,,70.0,,54.84,0.0014716703458425313,4.174496438221567,2.0,48.0
,,2017,,180.0,,54.72,0.0014716703458425313,3.1802178007041673,2.0,63.0
,7,2018,,110.0,,,0.0014716703458425313,3.6430093119849936,2.0,55.0
2017-06-14,9,,,110.0,,,0.0014716703458425313,3.0823195963947625,2.0,65.0
2017-10-24,,,24603,,,55.98,0.0014716703458425313,4.35606036333344,2.0,46.0
2017-01-31,8,,,140.0,,,0.0014716703458425313,3.1802178007041673,2.0,63.0
2018-03-06,9,,,130.0,,,0.0014716703458425313,3.7805369780731635,2.0,53.0
,,2017,,130.0,,54.36,0.0014716703458425313,5.72557111274871,2.0,35.0
2017-10-24,11,,,,,55.98,0.0014716703458425313,6.464544654955191,2.0,31.0
2017-01-04,13,,,160.0,,,0.0014716703458425313,4.771063620732007,2.0,42.0
,12,2016,,,,55.27,0.0014716703458425313,3.3393023827069515,2.0,60.0
,16,2017,,30.0,,,0.0014716703458425313,6.262481577008106,2.0,32.0
2018-04-18,,,,40.0,,54.88,0.0014716703458425313,8.0163890935888,2.0,25.0
2015-07-14,9,,,110.0,,,0.0014716703458425313,4.174496438221567,2.0,48.0
2018-03-01,13,,24602,,,,0.0014716703458425313,3.5151327101837126,2.0,57.0
2018-03-13,13,,,170.0,,,0.0014716703458425313,20.043183492999262,2.0,10.0
2015-07-14,9,,,80.0,,,0.0014716703458425313,6.680078604765414,2.0,30.0
2016-01-29,10,,,190.0,,,0.0014716703458425313,5.416001115337887,2.0,37.0
2018-03-06,11,,,120.0,,,0.0014716703458425313,3.130503868828298,2.0,64.0
,9,2017,,,,54.38,0.0014716703458425313,3.7805369780731635,2.0,53.0
,13,2018,,190.0,,,0.0014716703458425313,4.887466973416971,2.0,41.0
,9,,,50.0,,55.76,0.0014716703458425313,3.6430093119849936,2.0,55.0
,,2017,,10.0,,55.92,0.0014716703458425313,3.3393023827069515,2.0,60.0
,13,,,180.0,,54.72,0.0014716703458425313,15.417493339379854,2.0,13.0
2016-06-30,9,,,120.0,,,0.0014716703458425313,3.8532679553313307,2.0,52.0
,11,2018,,,,54.7,0.0014716703458425313,3.6430093119849936,2.0,55.0
2016-09-15,9,,,60.0,,,0.0014716703458425313,4.08927255500579,2.0,49.0
2018-04-11,,,24603,70.0,,,0.0014716703458425313,4.771063620732007,2.0,42.0
2016-01-29,12,,,150.0,,,0.0014716703458425313,7.157332350773765,2.0,28.0
2016-06-14,15,,,20.0,,,0.0014716703458425313,9.10973403898975,2.0,22.0
2018-11-28,14,,,,,54.71,0.0014716703458425313,4.660074377474251,2.0,43.0
2016-05-25,,,,170.0,,54.73,0.0014716703458425313,3.9288511277760922,2.0,51.0
,12,2017,,,,54.9,0.0014716703458425313,15.417493339379854,2.0,13.0
2018-03-13,8,,,150.0,,,0.0014716703458425313,3.454501562777933,2.0,58.0
,,2018,,120.0,,55.04,0.0014716703458425313,3.5151327101837126,2.0,57.0
,13,2018,,,,54.72,0.0014716703458425313,3.3393023827069515,2.0,60.0
,13,2018,,,,55.39,0.0014716703458425313,4.887466973416971,2.0,41.0
,,2017,,70.0,,54.55,0.0014716703458425313,3.0823195963947625,2.0,65.0
,10,,,20.0,,55.07,0.0014716703458425313,9.543601080815524,2.0,21.0
2017-12-21,10,,,120.0,,,0.0014716703458425313,3.7104997407134475,2.0,54.0
,11,2017,,,,55.27,0.0014716703458425313,4.007457627118645,2.0,50.0
,10,,,150.0,,55.49,0.0014716703458425313,7.157332350773765,2.0,28.0
,13,,,70.0,,54.84,0.0014716703458425313,15.417493339379854,2.0,13.0
,13,2018,,,,54.84,0.0014716703458425313,9.10973403898975,2.0,22.0
,12,2017,,,,56.24,0.0014716703458425313,10.020854826823877,2.0,20.0
2015-11-04,9,,,70.0,,,0.0014716703458425313,7.157332350773765,2.0,28.0
,10,2017,,,,54.55,0.0014716703458425313,3.3959257085045524,2.0,59.0
,11,2018,,,,55.75,0.0014716703458425313,3.3393023827069515,2.0,60.0
2016-03-09,14,,,,,54.79,0.0014716703458425313,3.23153540780184,2.0,62.0
,13,2017,,,,56.24,0.0014716703458425313,3.8532679553313307,2.0,52.0
2017-10-24,11,,,,,56.01,0.0014716703458425313,3.130503868828298,2.0,64.0
2017-06-06,8,,,60.0,,,0.0014716703458425313,10.020854826823877,2.0,20.0
,10,2017,,,,55.53,0.0014716703458425313,13.361631048882337,2.0,15.0
