date,hour,lng,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
,10,22.9,,,110,,,0.0011762976032936333,4.44794477975694,8.0,36.0
,11,22.6,,,,,55.1,0.0011762976032936333,3.2675653508864166,8.0,49.0
,13,23.4,,,,,55.9,0.0011762976032936333,4.003032533490358,8.0,40.0
,13,,,,160,,55.5,0.0011762976032936333,3.4807442443948053,8.0,46.0
,,25.5,2016,,120,,,0.0011762976032936333,3.335664164090485,8.0,48.0
,,22.9,2016,,110,,,0.0011762976032936333,4.3276982267119175,8.0,37.0
,11,,,,100,,55.3,0.0011762976032936333,4.8524104581811045,8.0,33.0
,,24.5,,,30,,,0.0013233348037053375,5.630424580388692,9.0,32.0
,,24.6,,,40,,,0.0013233348037053375,4.50407464664311,9.0,40.0
,,24.8,,,,,55.1,0.0013233348037053375,3.4643670154933406,9.0,52.0
2017-06-19,,21.6,,,,,,0.0013233348037053375,3.5323217626273125,9.0,51.0
2016-05-16,,,,,210,,,0.0013233348037053375,3.2753292643752006,9.0,55.0
,07,25.5,,,,,,0.0013233348037053375,4.869377327857893,9.0,37.0
2016-07-19,,22.5,,,,,,0.0013233348037053375,4.869377327857893,9.0,37.0
2018-01-30,,24.1,,,,,,0.0013233348037053375,4.0034746760895175,9.0,45.0
,,24.1,,,,,54.5,0.0013233348037053375,3.5323217626273125,9.0,51.0
2018-01-24,,,,,150,,,0.0013233348037053375,3.1058471426830754,9.0,58.0
2017-02-08,09,24.7,,,,,,0.0013233348037053375,4.289531802120141,9.0,42.0
,,,2018,,110,,54.3,0.0013233348037053375,4.619597716770862,9.0,39.0
2017-02-27,,26.0,,,150,,,0.0013233348037053375,3.2753292643752006,9.0,55.0
,10,23.7,,,,,55.8,0.0013233348037053375,3.0531832065640536,9.0,59.0
,09,,,,120,,54.9,0.0013233348037053375,4.869377327857893,9.0,37.0
2017-06-19,10,,,,40,,,0.0013233348037053375,3.3360080486847266,9.0,54.0
2016-01-29,10,,,,170,,,0.0013233348037053375,3.0531832065640536,9.0,59.0
2017-01-04,,25.0,,,120,,,0.0013233348037053375,4.619597716770862,9.0,39.0
,,25.3,,,160,,54.5,0.0013233348037053375,3.160358936209782,9.0,57.0
,16,,,,20,,55.7,0.0013233348037053375,3.2753292643752006,9.0,55.0
,,21.3,,24602,20,,,0.0013233348037053375,5.812093924541206,9.0,31.0
,,,2016,,210,,54.7,0.0013233348037053375,3.3360080486847266,9.0,54.0
,12,22.9,,,,,56.0,0.0013233348037053375,3.753174690812721,9.0,48.0
2017-10-24,12,,,,110,,,0.0013233348037053375,3.9164138116454144,9.0,46.0
,,23.2,2017,,70,,,0.0013233348037053375,5.147703180212013,9.0,35.0
,09,25.3,,,210,,,0.0013233348037053375,3.3360080486847266,9.0,54.0
,17,,,,20,,55.9,0.0013233348037053375,3.2753292643752006,9.0,55.0
,08,,,,140,,55.6,0.0013233348037053375,3.216817579505301,9.0,56.0
2017-10-24,12,22.9,,,,,,0.0013233348037053375,3.753174690812721,9.0,48.0
2017-01-04,09,,,,120,,,0.0013233348037053375,4.1897444325745745,9.0,43.0
,,,2017,,0,,55.9,0.0013233348037053375,4.1897444325745745,9.0,43.0
,,25.3,2016,,210,,,0.0013233348037053375,3.3360080486847266,9.0,54.0
,,,2016,,100,,55.7,0.0013233348037053375,3.0531832065640536,9.0,59.0
,,22.4,,24602,,,55.1,0.0013233348037053375,3.398976598439896,9.0,53.0
,,22.5,2016,,70,,,0.0013233348037053375,4.50407464664311,9.0,40.0
2017-07-19,10,,,,30,,,0.0013233348037053375,3.602994699646643,9.0,50.0
,,,2016,,180,,54.6,0.0013233348037053375,3.1058471426830754,9.0,58.0
,,23.4,2017,,60,,,0.0013233348037053375,3.398976598439896,9.0,53.0
2017-02-27,14,,,,110,,,0.0013233348037053375,4.50407464664311,9.0,40.0
,08,24.3,,,80,,,0.0013233348037053375,3.1058471426830754,9.0,58.0
,09,24.9,,,160,,,0.0013233348037053375,3.4643670154933406,9.0,52.0
,08,22.9,,,140,,,0.0013233348037053375,3.160358936209782,9.0,57.0
,,22.0,,,110,,56.3,0.0013233348037053375,4.50407464664311,9.0,40.0
,,25.5,,,170,,55.4,0.0013233348037053375,3.602994699646643,9.0,50.0
,08,,,,80,,55.4,0.0013233348037053375,3.753174690812721,9.0,48.0
,,22.0,2017,,110,,,0.0013233348037053375,4.1897444325745745,9.0,43.0
2018-10-24,,23.3,,,70,,,0.0013233348037053375,4.619597716770862,9.0,39.0
