date,lng,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2018-10-24,23.3,,70,,,0.0013233348037053375,4.619597716770862,9.0,39.0
2017-02-27,26.0,,150,,,0.0013233348037053375,3.2753292643752006,9.0,55.0
2017-01-04,25.0,,120,,,0.0013233348037053375,4.619597716770862,9.0,39.0
,21.3,24602,20,,,0.0013233348037053375,5.812093924541206,9.0,31.0
,22.0,,110,,56.3,0.0013233348037053375,4.50407464664311,9.0,40.0
,25.3,,170,,55.0,0.0013233348037053375,3.1058471426830754,9.0,58.0
,22.4,24602,,,55.1,0.0013233348037053375,3.398976598439896,9.0,53.0
,25.5,,170,,55.4,0.0013233348037053375,3.602994699646643,9.0,50.0
2018-01-24,,,80,,55.2,0.0013233348037053375,3.0531832065640536,9.0,59.0
,25.3,,160,,54.5,0.0013233348037053375,3.160358936209782,9.0,57.0
